Date,Collectivité concernée,Nom du fournisseur,SIRET,Activité principale,Objet de la dépense,Justificatif,Montant,Catégorie,Remarques
27/2/2023,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Volume russe - pose complète,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Tusv6zEatH5TO-Nm_Hq14w/KfkYov8nEy21xqsd5p54b2dZVO2Kt_1bWhIQl6gdJIZqVPDHqSh0nZh7alcTRgQj0VZvoROAMJEhwbEVcofhHrhHRELqMmmKF0UVBOVgLybnJLS0DUErXp1FdNOfoDS0L6tyUL5G6neP3tq8t_enkA/LvcZ1ZPgFQre0R6jBTTqS-7S7eBaD7cPC0vQQ49bJko),"€150,00",Beauté et soins,
24/2/2023,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/YnQF8d0ZH3X44I7nOXcOgg/QIUnshIiGGx0DGYMbo5ffBPMKPl_FuDzwlY_6rM0GtahfdKNIzTmt73T-o3g-kuha20pzFSh6bU7b5DRAQB3muFFrkQY9IXDdTtfevFee068EwxaacWcdFkOKDtUnqsm2M0Q4EhtfpEgu7ApOVcJ4g/kniphI6BV92FqG7HrunxHufQZYS4rCox6n6n-oEz7aY),"€77,00",Beauté et soins,
3/2/2023,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/VsbJ4oIf9H-MjuqE10NBLQ/4FrOBLN_CdM_rUbu24TqRLYBax35zdL8KBJvkNzDvxn2G_XS_TYXhscWEARp9SHMA_f_GWcF7O8ilG5SEY2g6N3QUuLulfffL0m6uIL3QFNbBEe7dJfZH1ZQdaKbjyH2aTFDMdDbSaye-xzGUNrNVQ/khjUz5e0UTIA5B6BMyTqP_CXpx4pAwgqSIRfVEvheyo),"€25,00",Beauté et soins,
28/1/2023,"""Aix-en-Provence
""",SOC AIXOISE EXPLOIT PARFUMERIE (PARFUMERIE TRUPHEME) (SAEP),58162088700017,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,Produits en parfumerie,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/hRbKRraQgGWjMoFHLlO4xw/t9sv3otOkkTX56d0kO6ijJkmgOApuF3kq8z6Vci_kY1mKggjiidp-f3dI_7m9SO3Kct6gi4Gh5RPfVFIbVEud1jBqF-vOD9FP8QMveIJqlGQnCbXjn8u_2q4awMpd05FaOlK23TaXZ_2tDBnzeO2pQ/N_Y750syvRixn-HHnlp4QNmvNrBwRtj5ZAsGaICmNqQ),"€225,00",Beauté et soins,
28/1/2023,"""Aix-en-Provence
""",COTON ROUGE,38009920000012,Autres commerces de détail spécialisés divers,1 ceinture,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Fy7UOzGen5j3-eDSNBlVag/8iIFd7xXy1l1EwEzsUbOX1rOrK--UjC1rXGXPRrXu-7dG2pJWF4De13KzryIeElSI-DyJ-zqaX3hGZW4BmKoie1kY_S5AZ8GPm88R0fbt1kTwVkjFu-czoS27WB9Mxp77sbskqMGCNT0aGGoJMbOew/GByaskE2c_ZJLwMR8JTxF38EZ6ONL95wIyraMXuSORM),"€290,00",Vêtements,
28/1/2023,"""Aix-en-Provence
""",ERIC BOMPARD (ERIC BOMPARD SA),33837545400398,Commerce de détail d’habillement en magasin spécialisé,"1 écharpe, 1 pochette de lavage",image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/5y3GVZNQLV8Qm9QyoA5r2A/-iMCgVFX2nouZJWU9nLYhrvuJEns8qHADlqZD-V6gfqA_YNfvCb6lQVuJVH_nr0-1vFLfHENV1iYQOlp_o513MJIvJ7GKab1B2k6ihmNZHFJpIewI88fKtxzozQ6MNWcjJL-Y4iX0jse0PmGT2hhwA/LDKmkWQwztVop4DLkWYGsgBP2j60fKMB-V7hZUeRzYA),"€116,00",Vêtements,
24/1/2023,"""Aix-en-Provence
""",WE RESTO,79350926600011,Restauration,"5 raviolis, 5 volailles, 5 chocolats",image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/DJgQE4LvtHCltRiiz3PZFQ/fSRhgBHK7u3sKrx8Ju7DezuVPY8LlMTzVMQbDckBb2Oa1uctZLGMx-5Yc-83XeJUu3vGRRkgbkuz3pBh5bnir5_FePEA7JbJHFAvsgGk1CDubJbqNLEGqiDOQXdslcJcPSmLve41lCjLo1nUjPUDIw/kKylC7ObWhYo0lum1ZGyqIYHKZZtAb90pqQi6YZ2PZk),"€240,00",Restauration,
22/1/2023,"""Aix-en-Provence
""",SCHOOL RAG,41751738000073,Commerce de détail d’habillement en magasin spécialisé,Vêtements,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/ornVTBWklOjn2xl-hv42Rw/xWQt9k1ahRJg35RH5pzHXcZXmQo_u-ZsY29DrJJ3CIEcAGT1TndIHsIBKoWbL0tQQeyHSdTUWfRoGCNPorYTjj6WdRumo8RhNTwXXeEkZRiI76Hox3zT8x1Qpbi254DGbjjvf4AxY-8JirYVd1d7eQ/e-icIC5-LvM1h_Bs-YyVaUW-hjnif0fUL4EyEuUadyw),"€1096,09",Vêtements,
13/1/2023,"""Aix-en-Provence
""",SARL ARMAND TRAITEUR,38938694700011,Restauration,Repas pour 20 personnes avec service à la mairie,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/xZwd31sh8qcySByjRM1kPg/Wjeu_EkqGHdmUIqhQN0FvVpNMLgX-dNsLsvO94qblEYmt_A0bgk_10AzADTacLjMtDbK01-fRY9aBWy1bj6cVPWE6SJ_YMRNJBvvYrCGvfLPKLSTO4NOGxTjOE3AcckRSrq9l2r66bIGHr7QEK3nkg/vgIdUYAmBExAQIUsVoyvIia3gWRt_cQbvuOlfgyzHyI),"€1078,00",Restauration,
16/1/2023,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/Urtfw-b1n0-02EBNkpTy5Q/ys88MoII7pxdQNSWPihrZrFat9lL_5sMQ9PzNKGCYH_5Erv41lyk2vl_HRonZDSKzpEaBpW7b3m5KJ1goHxW2MIsi8XstemZSD2kj4QThf1UUTLguBOwsdTJ9POlIazj12nUO0lWfbnEpJH7a53WAw/ZDvsN2oivfoiV_KLlhxUqvTNICzaAgsV4kzZ72hEm8g),"€25,00",Beauté et soins,
14/1/2023,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Volume russe - comblage à 4 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/BK7Sd5hEZnRGkvs3Taq0Ag/_N9EAZSYQ6DlZkF9eoYfBqUgmaYtLR43OhhTzgHd4lTpRzPFLPGyh-5MqEwi0KIiYHn2x75Xwf1lI-0cNrTAOZBXPIp10TpYRStridrBBhzjaVlHojMOPfb8KPUAe7YUqgOuJvtsUSYZ4oI-EIwCBA/UOtwDPaItN4l0bA4CZIMnPdPoPi1AkyRrytQvWwB-EY),"€90,00",Beauté et soins,
13/1/2023,"""Aix-en-Provence
""",ERIC BOMPARD (ERIC BOMPARD SA),33837545400398,Commerce de détail d’habillement en magasin spécialisé,1 écharpe,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/7ZfntUC8V7NBePlouvNG2g/EuHGgdLTSOkQ4slWvOTwaP5tZFaocTY4zJ_L6OP_9oC_YZ7RrbUXyNOZXbYYL80ttqDNO9std-17U_NHnnKhDzg87Hr7-hjBFo0pccsoLWU6xyKanxG52SabFSgZFpN1uuO4BB6vGj73cwH3wqiuEQ/rS2f_LHAORHv5ddoRiTdgVii6dxJ0Xmh2YNMVK2wrvc),"€145,00",Vêtements,
10/1/2023,"""Aix-en-Provence
""",SJW (KOM O RESTO),90988385200016,Restauration traditionnelle ,Livraison de 12 plateux de repas réunion,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/tMV--u9zXAvhob0HGU07hw/ZfMGT4HniQdLTonJ8Xa9secx1MmyflNYvs9jjrcBo4oYzGJh4Hc1toM1aBey6zUXMAJUODF5tK8ftSGrGAnqiBp-7pgUHIk7pqyezI-jbmwGVbhgQFk_vTCW6JeL1HRRcJ0l9Zc4wQ4AYLCHZC1DTQ/Edor974Dez_wjAfozSI3XmjwoFjV0ZIyTPK9aBPwgcg),"€216,00",Restauration,
5/1/2023,"""Aix-en-Provence
""",SARL DIGI,35051653000028,Commerce de détail d’habillement en magasin spécialisé,"1 blazer, 2 pantalons et un article inconnu",image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/f6L0_rkn9LPDUYXIDGeFgw/bc8r-E78cl3blqNEdYNy4YN8QWNsbhbRscTej5-OgtjQzy2qMQl2qEGt3ulvgzN-7FjMXSGRCF8uZJoCWWvd4FYWIushPUCyI4_0XXYICPDqT7FX8XXDCvz-DTi6OIhgoJ5bFKXJusItBM5M3t4FNA/vt6_5bwD3MazOAgS1CF43fXnzB3mq3qYVXpyuJkm1s0),"€1080,00",Vêtements,
31/12/2022,"""Aix-en-Provence
""",SOC AIXOISE EXPLOIT PARFUMERIE (PARFUMERIE TRUPHEME) (SAEP),58162088700017,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,Produits en parfumerie,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/OSvXF_qHLiu6QtpAfeZmFQ/OYh_VcC0MaX6IqVxOzR11oxg1YJyDmH_viARAjxOZWHAlvofjSlFNkY_eV3DD_G_Pl4mUoNqcDyOk1oyKmCYv1blQdEuMC_fME0KjEiXq0Im4xWvQptPsRaKuAXLC8zlTT0hZKUfEPSx2Lbj3ZyfVg/9iBjVVngBZ3TwDUbuyu0iQ3yuZvoBIfA-vgLxO2sGHg),"€128,80",Beauté et soins,
31/12/2022,"""Aix-en-Provence
""",ERIC BOMPARD (ERIC BOMPARD SA),33837545400398,Commerce de détail d’habillement en magasin spécialisé,"1 pull en cachemire, 1 pantalon, 1 coffret de broches",,"€690,00",Vêtements,
31/12/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/nhMkW9RDCyCAH1Zl_NBlkA/MdyD7dqVenA5_yM0Gor_i8wZ8Aw7UspN2HY2Hxus6pPDOSA39y0mYvdKAZUIr_pEzXPlfeH7-Me2QeVGodM_ub30pg7qGegFkrA6Fa3p5fgoyKORJJXuLm9Y6yBesmQLGNUFQ6DVvUZFNTqsuNZJpg/cHq4O1FSCWkxhXP1Lw_8S_OuM3kcvc3D0DixQbduYeg),"€40,00",Beauté et soins,
30/11/2022,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,9 menus,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/WO-0g00v7RBko2973IZ2vQ/OtqhEfXEMFsjEKTF2B-d4PSjAVH1_rdPNumFhoWo1LmqIzrXbxZQC0-Mf8lRmcpPpR5Eqo3mSH3PVJv92GdwI9AVtF3CIdeVXhxerCq1dUQGzxgAefwCtZYIeymZgwFk5vW07ArZfI0_iYklb1N4dA/wBhgt6r2-H_PwOlMA3ZVqcdKp_f6w_Q6a_vCEycAWsQ),"€342,00",Restauration,
30/12/2021,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Manucure,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/RiYuLiH2-vwrU3Hph2MJqQ/okzBcDsk0uWFvVz0fuGztCk1pCW3i008Rqjbq_s3weTZ5EfUGGvTSJzDWOISszbmC0AJZjSmHNawEnYDo6WKGSHo0OwqIpVxY9z89louWv4JXuubhmsyvnkoAmhtYz6uVW2JZogwsd0kA0ghay0-fA/RZqnScUmpxp5cFqMPcTr-f6lHMCQGuU7w8rEBk5OE4o),"€25,00",Beauté et soins,
17/12/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Volume russe - comblage à 3 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/3StDfPRwKIbkaxX7X8YA9w/0WGCWIopmXWVIx_WB5LeighaVDssaFmLx3WObcRXlX_n2--DgNU_Dits-aI_6PrMnnwtFdRVOf-JFp_Bg-9p7lHSf0jIp5BktWnrUMa-caDpZwnG2_KsORtnZjYSphjScQkskLdMSCat2T9_EFdN8w/9Wu9suqZ2bW67731SOSTXzAm8XwR3vGy_LUCvyGTEhI),"€75,00",Beauté et soins,
28/11/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Volume russe - comblage à 3 semaines,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/m74j88FXlFfxZhYoRMnWLQ/sqQqCaQScF-EHj0n1jEMhpmUkERjE6emMn3vs3gFF4btjPTn37MSlTP3u6ySd8WVV5VE_bjiRCwznpfln6-LqLrba2nRk8mtYkvaoFJGPqKuyBF0NO5l6NL60_uSN9PMlBGCYmfRxLvs6xh3UOc4cQ/eQeHJZwqDAA2h6v-88m8TggO_jW0ot_bms8lCd-_Skk),"€75,00",Beauté et soins,
26/11/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/d2GRHVKrJ2RsERZGmXlwmw/ZA4GK11kcv3ZsIyJzKqGTxzvptlz1QXSzxK8x0Q-UFsqbb4xbG6Sq0QNDnOM7KieafXkCw1mNlGg-BZgzi05xq6TC6cz_3lncynrHAun-qzPKz1Af4Q-JbqTspOWbTv6EZvo5TaTRLvqAsDJVm-eGA/SLWFLswpTS0wygyv-L9TdxnOj2syZOJlX91CxsyUvHo),"€25,00",Beauté et soins,
5/11/2022,"""Aix-en-Provence
""",VALOUCILS,83132818200033,Soins de beauté,Volume russe - pose complète,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/BKFbXyQLJB59VBZFCKRGqA/fTUiW8cZbXr0qGpZ2XlCTMJsnofbqpSifBGBkL_Kql_WdrkX8BvWEUj-eZP3Xv_0VxMHF01uaG0whv4ayyKz5BmPR7G0F7nDfmbdalEOcx82e3NfqgYswKEDnvWzbguqPint1t1pZ-lCPwBU2fQGYQ/q0no-pgtSakXdLYS97VbV3prng5YzXBi6uuOA_7IcRw),"€150,00",Beauté et soins,
4/11/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/_-4tRrFs-euK7d0dpBTPfw/7BanNooU5vW02rm13YfRle8zblidXkSzJttt21HpB1VTrlbZHBFxae1bn73ISDW7fPOT8P9ljrom2at51JCqc03unwQWiIhtLyLELgFXIV3IH0LveyhZkckZma3DUVnvz963yni4v0Al5Q3b_2_9XA/5X14G25VAhMS8LOuhVtJ9gnaR2YfiaGS1vPKMvv4A_g),"€40,00",Beauté et soins,
28/10/2022,"""Aix-en-Provence
""",OLIREM,80992880700027,Soins de beauté,Maquillage,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/ZdFy35F1tBgpOJh9ujaG_g/dI7uL-HZaO_ZWGOCtg8wBXKth5U3Aa44MDx32G2bVOBF5NJKyBtW0f-bIoDFLrS2V4EXLl6YBTzq4QIedqNPQFDfayvKmg0pP9HGYBbHJugH2hMnKD9RtDa1SN88biiAVQHskZT5x2BJsnfX-9sogA/ProOWYVHbgjCwX2HKwnyYXa0kKcXjYYPgC2CCpmA79g),"€280,00",Beauté et soins,
18/10/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/nEi42gIPin3h0bYWMhMhgw/0WXvk3ykzpGxQqrxoIZ5hjesBDuJSJJ7vRSi0mHMJhDRD9TvTH4AB6OPwj4Pek1InXlR7wJgEOsy4OHimvPzhKMRaWNihjXeqyPRP9A06S-enTlXHPOmi4hNj6XP38qJ961fUHwOG6QCr4vt2uAHUw/skvjRHD2ZWFW8ekIWI_JXxyV4-Sjokt02ZK2QddXg5g),"€35,00",Beauté et soins,
15/10/2022,"""Aix-en-Provence
""",SOC AIXOISE EXPLOIT PARFUMERIE (PARFUMERIE TRUPHEME) (SAEP),58162088700017,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,Produits en parfumerie (3 parfums guerlain),image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/4KgIJT9OC1P6oLO0l3iGiw/oJenDUPlfCCbg8JcI2TqFRGyW_TrnkUu1VADe-HUGYm5JE-2kQlzbP5MF6LelfWGTxVQ4HzcmykD9jSmXs6x2rLRCB0DdRh8Bqv_N_IHppkCo9_8sm72wd10nUIQNsrQFNxuyylj8YEgMc2tcRIIjQ/-nMzfvPRMZQKgGTvwwr17atacpLQofg0n8LMrUm8mpg),"€258,00",Beauté et soins,
10/10/2022,"""Aix-en-Provence
""",KF ARCHEVECHE,39930361900023,Restauration traditionnelle ,5 menus,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/uA2G-oK8zI_r6vf4nvoX2Q/WNshW23RF2hXkkY_0LViC-GEgv2shsZpCg9wvHkmOFzBqPKTMp2ml-7tXPgVdSJeffwxm_tiHmxj4GpKIBdeJR2WNzqtBpdKQ4nVWSz-wNtjgKacDMkF8bzKAdki9vk59auXVUhjhhjui6HZj6_9pQ/YSdzl04EqdhzQzma-Vfbogfq4U6n9S50EYKXk3k37Jc),"€190,00",Restauration,
1/10/2022,"""Aix-en-Provence
""",ED AND LOU (ED AND LOU),49867470400016,Commerce de détail d’habillement en magasin spécialisé,1 t-shirt,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/PeeLHYpASDfWidu_mR8ajw/mPo2Ubaz-6QSNNVM5Mja5zwlOoLG4YhwY2J3JwpBHMcMFF9EdagEbsP_-czDpvm9msFfTAFEOyMMvvCgOu5a9h5xB8LGRw28FzNDhB-Mrpia7AJJSkt3PjKxpCwE7kt-sKWEXqqKBSjbXT0oTAXgaw/RdDKuJx7N5XQNSyvckElzxzuqacZKuWOqvGsDjO7obY),"€210,00",Vêtements,
22/9/2022,"""Aix-en-Provence
""",Marie-caroline ORY,52347311400016,Soins de beauté,Soin esthétique,image.png (https://v5.airtableusercontent.com/v3/u/28/28/1714154400000/qI91KvSe-TFuXXada3dUUw/gINnXTywKSkkkl4SujjFhbmJHYCpZSOa588k1Ku_mhmb35uyPZe1O0UuMTsUBl5RyQSmW3P4hm_DVIzN7ecXBhyKbqMKyWszcKXw_xs__aF5pa3hmcj1P03ckeOLqylqjbU5GLr-gDKSwOYvlyFB1w/0JPCdCXdmEufqm5IZQa2vlKCJhzCBRd41nVCL_B8cTY),"€25,00",Beauté et soins,
